rank,name,provider,score
,,nvidia_nim,0
,,fireworks,0
,,featherless,0
,,openai,0
,,qwen,0
,,huggingface_inference,0
,,azure_openai,0
,,yi,0
,,novita,0
,,google,0
,,siliconflow,0
,,xai,0
,,mistral,0
,,vertex,0
,,sap_ai_core,0
,,nebius,0
,,xinference,0
,,gpt4all,0
,,together,0
,,deepinfra,0
,,sambanova,0
,,nscale,0
,,ollama,0
,,cloudflare_ai,0
,,cloudflare,0
,,cerebras,0
,,scaleway,0
,,ai71,0
,,anthropic,0
,,groq,0
,,replicate,0
,,crusoe,0
,,snowflake,0
,,ai21,0
,,lepton,0
,,hyperbolic,0
,,cohere,0
,,baseten,0
,,watsonx,0
,,beam,0
,,cerebrium,0
,,lightning,0
,,predibase,0
,,stepfun,0
,,localai,0
,,nlpcloud,0
,,clarifai,0
,,hunyuan,0
,,volcengine,0
,,oracle,0
,,ntt_tsuzumi,0
,,upstage,0
,,yandex,0
,,sealion,0
,,writer,0
,,resembleai,0
,,speechmatics,0
,,sarvam,0
,,perplexity,0
,,aleph_alpha,0
,,baichuan,0
,,baidu,0
,,bfl,0
,,kakao,0
,,lg_exaone,0
,,revai,0
,,recraft,0
,,stability,0
,,fal,0
,,spark,0
,,d_id,0
,,runway,0
,,playht,0
,,twelvelabs,0
,,databricks,0
,,gigachat,0
,,maritaca,0
,,naver_clova,0
,,plamo,0
,,krutrim,0
,,softbank_sarashina,0
,,siloai,0
,,swissai,0
,,tilde,0
,,modal,0
,,runware,0
